Category,Sample_Name,PC1,PC2,PC3
NormalBreast,Cheng2020 MCF10A Normal_1257.423,-6.090278954,-0.716746432,-2.495558993
NormalBreast,Cheng2020 MCF10A Normal_1419.453,-5.979082836,-0.704747949,-2.497474269
NormalBreast,Cheng2020 MCF10A Normal_1581.528,-5.423671712,-0.546800968,-1.828438703
NormalBreast,Cheng2020 MCF10A Normal_1590.565,-5.640179639,-0.547678825,-1.691128974
NormalBreast,Cheng2020 MCF10A Normal_1727.586,-5.472808765,-0.579681406,-1.419982224
NormalBreast,Cheng2020 MCF10A Normal_1743.581,-5.302228405,-0.49119924,-1.769123544
NormalBreast,Cheng2020 MCF10A Normal_1809.639,-5.645089988,-0.599521578,-1.285842959
NormalBreast,Cheng2020 MCF10A Normal_1905.634,-5.204311029,-0.468193031,-1.754907134
NormalBreast,Cheng2020 MCF10A Normal_1955.697,-5.466956387,-0.529421158,-1.259631863
NormalBreast,Cheng2020 MCF10A Normal_2101.755,-5.315883307,-0.453670398,-1.197157653
NormalBreast,Cheng2020 MCF10A Normal_2174.771,-5.241307208,-0.506217616,-1.336272514
NormalBreast,Cheng2020 MCF10A Normal_2320.934,-5.011261726,-0.380068256,-1.263373993
NormalBreast,Cheng2020 MCF10A Normal_2482.965 ,-6.547565013,1.106449574,7.688947416
NormalBreast,Cheng2020 MCF10A Normal_2539.904,-4.781041338,-0.355707126,-1.148454886
NormalBreast,Cheng2020 MCF10A Normal_2685.962_a_conjecture,-2.943155379,11.98551164,7.060906372
NormalBreast,Cheng2020 MCF10A Normal_2685.962_b_conjecture,-2.943155379,11.98551164,7.060906372
NormalBreast,Cheng2020 MCF10A Normal_2685.962_c_conjecture,-2.864182978,12.03591024,7.071330684
NormalBreast,Cheng2020 MCF10A Normal_2685.962_conjecture_a ,-0.655816752,11.63705824,-1.348079196
NormalBreast,Cheng2020 MCF10A Normal_2685.962_conjecture_b,-0.655816752,11.63705824,-1.348079196
NormalBreast,Cheng2020 MCF10A Normal_2685.962_conjecture_c,-0.655816752,11.63705824,-1.348079196
NormalBreast,Cheng2020 MCF10A Normal_2685.962_conjecture_d,-0.655816752,11.63705824,-1.348079196
NormalBreast,Cheng2020 MCF10A Normal_2685.962_d_conjecture,-2.864182978,12.03591024,7.071330684
NormalBreast,Cheng2020 MCF10A Normal_2832.020,4.625160607,22.91261808,-1.705154324
NormalBreast,Cheng2020 MCF10A Normal_2905.036,-0.589094441,13.70912788,0.108874352
NormalBreast,Cheng2020 MCF10A Normal_2978.077,7.94844326,29.75633062,-2.351370171
NormalBreast,Cheng2020 MCF10A Normal_3124.135,-7.029893888,-0.759816926,43.75270698
NormalBreast,Cheng2020 MCF10A Normal_3213.145,-8.290496769,0.722560877,47.07039313
BreastCancer,Cheng2020 MCF7_1079.375,-6.366455257,-0.768651894,-2.773645864
BreastCancer,Cheng2020 MCF7_1257.423,-6.090278954,-0.716746432,-2.495558993
BreastCancer,Cheng2020 MCF7_1419.458,-5.979082836,-0.704747949,-2.497474269
BreastCancer,Cheng2020 MCF7_1565.533,-5.522784231,-0.542887395,-1.407998855
BreastCancer,Cheng2020 MCF7_1581.528,-5.423671712,-0.546800968,-1.828438703
BreastCancer,Cheng2020 MCF7_1743.581,-5.302228405,-0.49119924,-1.769123544
BreastCancer,Cheng2020 MCF7_1809.639,-5.645089988,-0.599521578,-1.285842959
BreastCancer,Cheng2020 MCF7_1905.634,-5.204311029,-0.468193031,-1.754907134
BreastCancer,Cheng2020 MCF7_1955.697,-5.466956387,-0.529421158,-1.259631863
BreastCancer,Cheng2020 MCF7_2101.755,-5.315883307,-0.453670398,-1.197157653
BreastCancer,Cheng2020 MCF7_2174.771,-5.241307208,-0.506217616,-1.336272514
BreastCancer,Cheng2020 MCF7_2247.813,-5.200546166,-0.558118849,-1.100013218
BreastCancer,Cheng2020 MCF7_2320.829,-5.011261726,-0.380068256,-1.263373993
BreastCancer,Cheng2020 MCF7_2393.846,-4.80405827,-0.335790402,-1.613159276
BreastCancer,Cheng2020 MCF7_2466.887,-0.467577492,13.04758421,-0.937281478
BreastCancer,Cheng2020 MCF7_2539.904,-4.781041338,-0.355707126,-1.148454886
BreastCancer,Cheng2020 MCF7_2612.945,4.315967818,22.83785835,-1.830497743
BreastCancer,Cheng2020 MCF7_2685.962,3.624308866,20.3678506,-2.142661791
BreastCancer,Cheng2020 MCF7_2758.978,-5.30986238,-0.45315254,10.5989801
BreastCancer,Cheng2020 MCF7_2832.020,6.669864761,26.6351282,-2.731738223
BreastCancer,Cheng2020 MCF7_2978.077,7.94844326,29.75633062,-2.351370171
BreastCancer,Cheng2020 MDA-MB-231_1257.423,-6.090278954,-0.716746432,-2.495558993
BreastCancer,Cheng2020 MDA-MB-231_1403.481,-6.184963432,-0.756141237,-2.149197429
BreastCancer,Cheng2020 MDA-MB-231_1419.458,-5.979082836,-0.704747949,-2.497474269
BreastCancer,Cheng2020 MDA-MB-231_1565.533,-5.522784231,-0.542887395,-1.407998855
BreastCancer,Cheng2020 MDA-MB-231_1581.528,-5.423671712,-0.546800968,-1.828438703
BreastCancer,Cheng2020 MDA-MB-231_1727.586,-5.472808765,-0.579681406,-1.419982224
BreastCancer,Cheng2020 MDA-MB-231_1743.581,-5.302228405,-0.49119924,-1.769123544
BreastCancer,Cheng2020 MDA-MB-231_1905.634,-5.204311029,-0.468193031,-1.754907134
BreastCancer,Cheng2020 MDA-MB-231_1955.697,-5.466956387,-0.529421158,-1.259631863
BreastCancer,Cheng2020 MDA-MB-231_2067.687,-5.110999404,-0.560588573,-1.667237418
BreastCancer,Cheng2020 MDA-MB-231_2174.771,-5.241307208,-0.506217616,-1.336272514
BreastCancer,Cheng2020 SK-BR-3_1079.375,-6.366455257,-0.768651894,-2.773645864
BreastCancer,Cheng2020 SK-BR-3_1095.370,-6.282526029,-0.739585555,-2.756484816
BreastCancer,Cheng2020 SK-BR-3_1241.438,-6.370015119,-0.77682516,-2.486047816
BreastCancer,Cheng2020 SK-BR-3_1257.423,-6.090278954,-0.716746432,-2.495558993
BreastCancer,Cheng2020 SK-BR-3_1403.481,-6.184963432,-0.756141237,-2.149197429
BreastCancer,Cheng2020 SK-BR-3_1419.458,-5.979082836,-0.704747949,-2.497474269
BreastCancer,Cheng2020 SK-BR-3_1565.533,-5.522784231,-0.542887395,-1.407998855
BreastCancer,Cheng2020 SK-BR-3_1581.528,-5.423671712,-0.546800968,-1.828438703
BreastCancer,Cheng2020 SK-BR-3_1727.586,-5.472808765,-0.579681406,-1.419982224
BreastCancer,Cheng2020 SK-BR-3_1743.581,-5.302228405,-0.49119924,-1.769123544
BreastCancer,Cheng2020 SK-BR-3_1768.613,-5.472808765,-0.579681406,-1.419982224
BreastCancer,Cheng2020 SK-BR-3_1905.634,-5.204311029,-0.468193031,-1.754907134
BreastCancer,Cheng2020 SK-BR-3_2067.687,-5.110999404,-0.560588573,-1.667237418
BreastCancer,Cheng2020 SK-BR-3_2101.755,-5.315883307,-0.453670398,-1.197157653
BreastCancer,Cheng2020 SK-BR-3_2247.813,-5.200546166,-0.558118849,-1.100013218
BreastCancer,Cheng2020 SK-BR-3_2612.945,4.315967818,22.83785835,-1.830497743
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3049_DCI_Matrix,10.32556938,-9.399256575,-0.521255813
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3195_DCI_Matrix,12.13050453,-10.57209638,0.047819427
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3414_DCI_Matrix,11.57267708,-9.494639626,-0.318610209
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3560_DCI_Matrix,13.43762534,-10.64937157,0.296534801
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3719_DCI_Matrix,21.30784417,-8.484738807,1.075752467
BreastCancer,Gabrehiwot2019_Fig7_HigherInBreastCancer 3865_DCI_Matrix,24.26920508,-9.538496084,1.850269778
BreastCancer,Lan_BreastCancer_1-14_conjecture_a,-5.698457944,-0.602884948,-1.343341573
BreastCancer,Lan_BreastCancer_1-14_conjecture_b,-5.698457944,-0.602884948,-1.343341573
BreastCancer,Lan_BreastCancer_1-19,-5.589098236,-0.563195276,-1.702550986
BreastCancer,Lan_BreastCancer_1-2,-5.395452041,-0.812404172,-1.097347047
BreastCancer,Lan_BreastCancer_1-21,-5.633803279,-0.674034116,-1.999779533
BreastCancer,Lan_BreastCancer_1-22,-5.727114904,-0.581638574,-2.087449249
BreastCancer,Lan_BreastCancer_1-31,-5.070263759,-0.396246476,-1.703003892
BreastCancer,Lan_BreastCancer_1-39_conjecture_a,-5.110999404,-0.560588573,-1.667237418
BreastCancer,Lan_BreastCancer_1-39_conjecture_b,-5.098530738,-0.559916362,-1.670146809
BreastCancer,Lan_BreastCancer_1-39_conjecture_c,-5.098530738,-0.559916362,-1.670146809
BreastCancer,Lan_BreastCancer_1-41_conjecture_a,-4.938410589,-0.660247754,-1.58813841
BreastCancer,Lan_BreastCancer_1-41_conjecture_b,-4.964908231,-0.655279625,-1.591839818
BreastCancer,Lan_BreastCancer_1-41_conjecture_c,-4.964908231,-0.655279625,-1.591839818
BreastCancer,Lan_BreastCancer_1-43,10.32556938,-9.399256575,-0.521255813
BreastCancer,Lan_BreastCancer_1-47,10.32556938,-9.399256575,-0.521255813
BreastCancer,Lan_BreastCancer_1-55,-5.241307208,-0.506217616,-1.336272514
BreastCancer,Lan_BreastCancer_1-57,-6.090278954,-0.716746432,-2.495558993
BreastCancer,Lan_BreastCancer_1-58,-5.979082836,-0.704747949,-2.497474269
BreastCancer,Lan_BreastCancer_1-68,10.55105772,-9.276239208,-0.461837651
BreastCancer,Lan_BreastCancer_1-7_conjecture_a,-5.495786611,-0.655590817,-1.61488127
