Sample_Name,PC1,PC2,PC3
CN-1,-107.6941576,-38.96918613,-32.54750598
CN-2,-107.7062185,-38.96513489,-32.53807569
CN-3,-107.680846,-38.96289365,-32.52733409
CN-4,-107.6344457,-38.94426334,-32.5006437
CN-5,-107.7109238,-38.97185074,-32.533576
CN-6,-107.6008139,-38.91741294,-32.50243519
CN-7,-107.6995236,-38.95707699,-32.54421133
CN-8,-107.6904169,-38.95982573,-32.55145676
CN-9,-75.23805944,20.54776194,105.9113884
CN-10,-107.6858207,-38.96697976,-32.54178827
CN-11,-107.695746,-38.9653208,-32.54353323
CN-12,-107.6816566,-38.96376675,-32.52651064
CN-13,-107.6745359,-38.9610316,-32.52788396
CN-14,-107.6787267,-38.9611744,-32.54149125
AD-1,-107.6271848,-38.94445316,-32.49752868
AD-2,-107.6394553,-38.94864737,-32.52567578
AD-3,-107.7029978,-38.97661307,-32.54769233
AD-4,-107.5571118,-38.9070307,-32.48094493
AD-5,-107.7014183,-38.98047042,-32.53781638
AD-6,-107.6214707,-38.93890853,-32.50042567
AD-7,-32.41688432,52.87410227,330.9860376
AD-8,-96.32244672,2.142934812,16.20498213
AD-9,414.7287697,956.3757,-67.67436321
AD-10,-107.6865035,-38.96091155,-32.54400483
AD-11,-35.33282966,45.70884503,337.8581014
AD-12,2193.318929,-220.5945056,-7.654603292
AD-13,-107.6951905,-38.97284346,-32.54554135
AD-14,-107.672314,-38.95904245,-32.52546704
