Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
0_A_Steps2BN,2.01E-16,3.54E-16,-2.72E-17,3.63E-16,-1.05E-16,-4.56E-16,1.99E-17,-2.46E-16,2.01E-16,-4.22E-16,4.72E-16,-9.05E-17,-1.65E-16,-1.35E-15,-9.82E-16,-1.10E-15,1.62E-15,-6.30E-16,0.994217662,-0.074334844,0.056655202,-0.019622148,0.010682561,-0.010543857,0.006060339,0.001250891,-0.004619655,0.035122788,0.008943158,0.003308442,-0.004019917
1_A_Steps2BN,-1.41E-17,1.92E-17,-1.92E-17,1.61E-17,8.48E-18,-5.93E-18,-5.88E-17,6.90E-17,-2.37E-17,-1.11E-16,7.86E-17,1.78E-16,-5.61E-17,1.14E-16,2.51E-17,1.65E-16,7.21E-16,-3.55E-17,0.000535843,0.186493663,0.126681751,0.389119669,0.06511239,-0.119402223,-0.07096971,0.407784296,0.566163009,0.475470227,0.17780237,-0.000329378,0.03007555
1_B_Steps2BN,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.051025406,0.407985255,-0.211508778,0.081232088,-0.228341341,0.063576396,-0.204133539,0.070729941,-0.189498963,-0.013698125,0.040453862,0.050274305,-0.163640363
2_A_Steps2BN,1.04E-17,-7.56E-18,-1.27E-17,-2.89E-18,8.75E-18,5.64E-18,-2.59E-17,1.29E-17,3.60E-17,-2.65E-17,3.12E-17,-8.45E-17,4.19E-18,-6.88E-17,-1.54E-16,9.97E-17,1.53E-16,4.49E-16,-0.003504284,-0.055108269,-0.011349743,-0.011115968,-0.004570785,0.034560394,-0.153517709,-0.209840307,0.109487479,0.069301315,0.001213085,-0.00362354,-0.012337798
3_A_Steps2BN,2.45E-17,-5.04E-17,6.26E-17,3.90E-17,-1.27E-16,1.64E-17,-1.82E-16,-3.14E-18,-1.61E-16,-3.41E-16,2.05E-16,-2.66E-16,-7.76E-17,2.47E-18,-2.89E-16,-2.35E-16,1.59E-15,-1.29E-15,0.004357437,-0.229656266,-0.137357118,0.277145773,-0.103964942,0.892901121,0.161186838,0.106942749,0.029121871,0.032079654,0.014933271,-0.000561848,0.003418942
3_B_Steps2BN,-6.90E-17,-1.83E-17,8.48E-17,1.35E-17,-5.42E-17,-2.29E-16,-9.14E-17,2.57E-16,-1.11E-16,3.02E-16,5.20E-16,-8.03E-17,1.22E-16,3.32E-16,-1.86E-16,-8.62E-17,-2.83E-16,-5.90E-17,-0.036573456,0.049654232,0.83963154,0.01078432,-0.159740428,0.15568393,-0.178075926,0.050511172,-0.063458532,-0.141355158,-0.02789245,0.078186176,-0.047684253
3_C_Steps2BN,-0.091709803,-0.08224605,0.139496573,0.021770057,-0.017353686,-0.060189159,-0.045109253,0.013892623,-0.001618347,0.014993521,-0.014250982,-0.055913341,-0.016877016,0.032239398,-0.145129187,0.006207193,-0.007374855,-0.011733138,0.011718048,0.144502838,0.143843829,0.079668225,0.007522764,0.040021596,0.034400681,-0.079090886,-0.019653795,-0.067606647,-0.076035797,-0.329252044,0.126504893
4_A_Steps2BN,0.005777061,-0.00564889,0.027150187,0.030311218,0.252888109,0.081146412,-0.066201349,0.385640406,-0.165932389,0.006518868,-0.030439136,0.081292481,0.015265682,0.042338334,0.020931238,-0.001999438,0.00254488,0.021458399,-0.002285449,-0.3282538,-0.052443795,0.635756909,0.020823983,-0.221991847,-0.258515586,-0.006330404,-0.18958954,-0.217163233,-0.074198869,-0.046244286,-0.014897056
4_B_Steps2BN,0.011117149,-0.010391534,0.050590128,0.055937289,0.410702782,-0.029383725,-0.07392806,-0.149577456,0.172904442,-0.147179448,0.001211881,0.028469141,0.084071203,0.023286783,0.013385184,0.014501121,0.021885513,0.004387935,0.005265404,0.028135736,-0.048125737,-0.007067981,0.084761578,0.008348814,0.001770418,0.057806428,0.06784012,-0.142450744,0.045317422,0.728429015,-0.201155899
4_C_Steps2BN,0.029564428,0.011634684,0.006594949,-0.026851332,0.099430399,0.010331836,0.146907345,-0.143256313,-0.254572002,0.02573801,0.099875379,-0.081591595,-0.114928869,-0.013512987,-0.040792917,-0.049881189,-0.104901986,-0.197469834,-0.023565846,-0.152871878,0.029522539,-0.100667939,0.164918464,0.009201671,0.004877796,0.075612629,0.054984355,0.01988898,-0.006151024,-0.017220897,0.012459664
