bin_order,CN-1,CN-2,CN-3,CN-4,CN-5,CN-6,CN-7,CN-8,CN-9,CN-10,CN-11,CN-12,CN-13,CN-14,AD-1,AD-2,AD-3,AD-4,AD-5,AD-6,AD-7,AD-8,AD-9,AD-10,AD-11,AD-12,AD-13,AD-14
1,640,484,988,1335,525,1159,516,576,1452,805,627,1075,820,779,1103,867,624,1490,616,1430,1788,1254,3698,714,2026,6759,752,872
2,133.5393245,132.7984247,132.7304874,140.3094552,102.3226167,269.6237013,140.220737,140.2290216,117.3902512,156.8264036,146.6101884,145.3896073,197.2324531,182.2286037,165.4790448,108.954793,97.44411317,249.7547251,95.90146916,158.6822883,208.6099843,186.1162598,1259.671245,159.4493121,552.1239433,2203.238686,133.016216,192.6026497
3,57.24471132,78.61064408,152.5198788,217.4659756,62.09098437,167.2037464,67.73946571,85.85830278,95.86727305,60.55555529,58.00783532,97.76176519,75.7653718,57.73359814,84.61056844,107.2084222,79.9307382,183.2195449,99.80910428,155.5471833,234.7535847,143.2783303,548.5549697,60.30520542,295.4397802,872.4131795,68.56597618,91.66378937
4,57.92163759,41.8677277,96.52652037,147.47482,47.67802519,70.92480951,48,52.25297119,126.5714281,74.71189884,40.02730529,64.99645668,80.37926465,62.39613676,87.12481514,86.04515234,42.71030649,166.0606128,74.00655831,105.4299603,205.4716102,105.8197783,490.2255808,42.41552586,155.6818465,1123.845674,55.61405228,85.96522079
5,39.54946001,27.01327019,84.78797683,118.8607108,38.30391447,46.03159531,41.65177794,45.38514677,127.0199045,52.76533633,38.62464032,86.46437337,54.11099703,36.66077553,99.15700519,95.23430514,42.55323045,143.0216126,50.83531021,125.9394782,161.8268186,105.6492994,645.5435811,49.30869164,152.9232329,1373.464604,51.90135047,63.04392994
6,32.64965543,11.17466696,52.87670947,96.24967532,33.00162335,111.0225606,16.35467522,20.90146791,93.6686463,33.35843068,34.26660218,56.50663678,43.57952897,37.38505394,92.92779002,93.74288098,38.94748207,150.6381933,32.28852133,142.0270537,153.0454101,104.4773302,401.5020317,43.84062043,134.6124361,204.7386341,40.39221626,47.03207212
7,31.2416873,8.46771028,21.73939669,74.22637304,26.14403975,82.46109435,3.464101615,2.506930296,120.7657996,29.07363944,25.65427729,32.57395697,23.19482701,35.32010641,94.72635756,73.80411608,33.54660266,138.9884155,18.14717966,127.6648026,133.0194347,94.5742314,78.55748305,31.9105343,101.9676817,132.6908658,33.95046758,26.14923127
8,20.05404742,16.29511124,22.11505282,51.30184591,17.17046665,10.29196314,12.23394968,10.60385374,102.0606769,29.40918202,22.95917644,36.83046886,7.530896953,24.63736999,74.4286571,36.91759205,25.51470164,129.5107313,7.415073411,109.2886087,109.2817693,91.60907946,134.1777698,22.6616421,50.83815615,628.5967231,28.48460055,12.98292281
9,11.43854069,24.04611615,14.3090809,29.41161368,5.192777026,73.91051405,23.44129221,20.09216386,85.32755776,22.801245,13.68468419,31.36994297,2,18.62497479,44.57439228,4.421670831,18.37975885,115.4569417,5.084729041,79.15974579,88.14754855,80.85796145,145.2194119,15.98915035,36.85848477,636.9684249,20.83512269,0.555569034
10,8.61207896,24.04611615,5.499287269,34.4699503,5.192777026,51.52850021,30,27.04987932,58.47596041,15.17090735,8.411858092,33.27853091,14.39353374,11.62807812,16.54523145,44.42351291,11.24522875,94.94388235,14.99560935,44.27335234,68.26427824,69.58715529,315.7605328,11.01317394,64.37275185,326.0888178,13.45764995,8.751999745
11,2,16.29511124,5.192622383,39.03844259,17.17046665,41.66522566,23.44129221,27.04987932,22.95344203,11.33551576,8.411858092,25.23885893,17.7653718,5.918043647,20.60905807,76.24423003,3.90161272,71.77898161,21.75022198,16.14843448,58.25104926,59.95742948,224.9763955,3.97E-15,89.32229203,418.9896865,8.334929079,15.84248061
12,8.61207896,8.46771028,8.617564066,43.85109793,26.14403975,95.39274755,12.23394968,20.09216386,13.85640646,3.598167141,13.68468419,19.13898419,23.90543244,5.918043647,59.54837084,87,3.90161272,53.27963655,23.96256456,26.77853854,51.39105724,50.92829826,118.6413624,11.01317394,102.9478349,276.7977601,1.22500035,23.84540034
13,11.43854069,11.17466696,18.79337779,42.3726981,33.00162335,51.55819252,3.464101615,10.60385374,39.39210071,3.598167141,22.95917644,18.94564139,30,11.62807812,80.95213086,76.24423003,11.24522875,37.65996064,23.96256456,34.56851858,55.93030168,33.52446997,107.4152964,15.98915035,109.7609576,228.3908398,1.22500035,27.10285759
14,20.05404742,27.01327019,22.67950648,34.84908319,38.30391447,51.55819252,16.35467522,2.506930296,52.38879733,11.33551576,25.65427729,10.29941371,23.90543244,18.62497479,83,44.42351291,18.37975885,37.14280073,21.75022198,42.04225287,54.63985501,23.17004379,63.60658132,22.6616421,99.6654421,314.4084001,8.334929079,27.10285759
15,31.2416873,41.8677277,22.8591788,15.54470498,47.67802519,95.39274755,41.65177794,20.90146791,45.94133084,15.17090735,34.26660218,5.956180163,17.7653718,24.63736999,80.95213086,4.421670831,25.51470164,38.50641595,14.99560935,42,48.71459611,13.96300346,136.5601007,31.9105343,75.45329568,154.6732638,13.45764995,23.84540034
16,32.64965543,78.61064408,22.8591788,9,62.09098437,41.66522566,48,45.38514677,46.53084665,22.801245,38.62464032,1,14.39353374,35.32010641,59.54837084,36.91759205,33.54660266,38.50641595,5.084729041,42.04225287,41.18644169,13.62949905,152.5851398,43.84062043,51.74919906,144.4067036,20.83512269,15.84248061
17,39.54946001,,22.67950648,15.54470498,,51.52850021,67.73946571,52.25297119,19.28463352,29.40918202,40.02730529,5.956180163,2,37.38505394,20.60905807,73.80411608,38.94748207,37.14280073,7.415073411,34.56851858,23.3062159,13.62949905,164.7666523,49.30869164,31.88613474,174.5109991,28.48460055,8.751999745
18,57.92163759,,18.79337779,34.84908319,,73.91051405,,85.85830278,19.28463352,29.07363944,58.00783532,10.29941371,7.530896953,36.66077553,16.54523145,93.74288098,42.55323045,37.65996064,18.14717966,26.77853854,4,13.96300346,102.9377015,42.41552586,16,373.771204,33.95046758,0.555569034
19,57.24471132,,8.617564066,42.3726981,,10.29196314,,,46.53084665,33.35843068,,18.94564139,23.19482701,62.39613676,44.57439228,95.23430514,42.71030649,53.27963655,32.28852133,16.14843448,23.3062159,23.17004379,93.53522937,60.30520542,31.88613474,365.535501,40.39221626,12.98292281
20,,,5.192622383,43.85109793,,82.46109435,,,45.94133084,52.76533633,,19.13898419,43.57952897,57.73359814,74.4286571,86.04515234,79.9307382,71.77898161,50.83531021,44.27335234,41.18644169,33.52446997,50,,51.74919906,377.9368756,51.90135047,26.14923127
21,,,5.499287269,39.03844259,,111.0225606,,,52.38879733,74.71189884,,25.23885893,54.11099703,,94.72635756,107.2084222,,94.94388235,74.00655831,79.15974579,48.71459611,50.92829826,93.53522937,,75.45329568,235.4564556,55.61405228,47.03207212
22,,,14.3090809,34.4699503,,46.03159531,,,39.39210071,60.55555529,,33.27853091,80.37926465,,92.92779002,,,115.4569417,99.80910428,109.2886087,54.63985501,59.95742948,102.9377015,,99.6654421,625.8844888,68.56597618,63.04392994
23,,,22.11505282,29.41161368,,70.92480951,,,13.85640646,,,31.36994297,75.7653718,,99.15700519,,,129.5107313,,127.6648026,55.93030168,69.58715529,164.7666523,,109.7609576,575,,85.96522079
24,,,21.73939669,51.30184591,,167.2037464,,,22.95344203,,,36.83046886,,,87.12481514,,,138.9884155,,142.0270537,51.39105724,80.85796145,152.5851398,,102.9478349,625.8844888,,91.66378937
25,,,52.87670947,74.22637304,,,,,58.47596041,,,32.57395697,,,84.61056844,,,150.6381933,,125.9394782,58.25104926,91.60907946,136.5601007,,89.32229203,235.4564556,,
26,,,84.78797683,96.24967532,,,,,85.32755776,,,56.50663678,,,,,,143.0216126,,105.4299603,68.26427824,94.5742314,63.60658132,,64.37275185,377.9368756,,
27,,,96.52652037,118.8607108,,,,,102.0606769,,,86.46437337,,,,,,166.0606128,,155.5471833,88.14754855,104.4773302,107.4152964,,36.85848477,365.535501,,
28,,,152.5198788,147.47482,,,,,120.7657996,,,64.99645668,,,,,,183.2195449,,,109.2817693,105.6492994,118.6413624,,50.83815615,373.771204,,
