Category,Sample_Name,PC1,PC2,PC3
Cluster-0,Cluster0_1,2.0929,-1.2122,1.3556
Cluster-0,Cluster0_2,2.0486,-1.6643,-0.8957
Cluster-0,Cluster0_3,0.3062,1.2200,0.3130
Cluster-0,Cluster0_4,-1.2872,0.6960,0.1994
Cluster-0,Cluster0_5,-1.4218,0.4389,1.1734
Cluster-0,Cluster0_6,0.9505,0.0946,0.4048
Cluster-0,Cluster0_7,-0.6808,-0.0753,2.4751
Cluster-0,Cluster0_8,-0.2193,-0.0571,-0.9167
Cluster-0,Cluster0_9,0.9315,-0.1379,-0.5926
Cluster-0,Cluster0_10,0.5116,0.5778,0.6031
Cluster-0,Cluster0_11,-0.6585,-0.8944,-0.3852
Cluster-0,Cluster0_12,-1.2641,1.3042,0.5389
Cluster-0,Cluster0_13,0.0175,0.6730,0.6251
Cluster-0,Cluster0_14,-0.1116,-2.3623,-2.0260
Cluster-0,Cluster0_15,-0.1595,-1.1762,-1.1543
Cluster-0,Cluster0_16,1.9029,1.1692,0.4996
Cluster-0,Cluster0_17,0.1010,-0.7413,0.3257
Cluster-0,Cluster0_18,0.1790,-0.4427,-0.0235
Cluster-0,Cluster0_19,2.7954,4.0794,0.5802
Cluster-0,Cluster0_20,0.8758,-0.4331,0.6395
Cluster-0,Cluster0_21,1.1764,-2.4182,0.6082
Cluster-0,Cluster0_22,-0.4882,-0.6473,1.2012
Cluster-0,Cluster0_23,-1.1393,0.8624,1.5806
Cluster-0,Cluster0_24,1.2298,-0.0699,-0.2588
Cluster-0,Cluster0_25,-0.9267,-0.5083,-0.5344
Cluster-0,Cluster0_26,0.0924,1.5781,0.6545
Cluster-0,Cluster0_27,-1.8518,-1.3961,0.5597
Cluster-0,Cluster0_28,2.9983,-0.5690,-0.7171
Cluster-0,Cluster0_29,0.4266,-1.4560,1.0506
Cluster-0,Cluster0_30,0.8892,-0.3111,-2.0591
Cluster-0,Cluster0_31,-1.6742,0.6818,-0.6572
Cluster-0,Cluster0_32,-1.4329,0.2510,0.3080
Cluster-0,Cluster0_33,0.9667,-0.5982,0.2220
Cluster-0,Cluster0_34,-0.2678,-1.7860,-1.5866
Cluster-0,Cluster0_35,0.0306,2.2425,-0.3351
Cluster-0,Cluster0_36,-1.3854,-2.9849,0.3748
Cluster-0,Cluster0_37,-1.2677,-0.5294,1.8189
Cluster-0,Cluster0_38,-1.2972,-0.5457,-1.9274
Cluster-0,Cluster0_39,-1.6589,-1.3512,-1.0153
Cluster-0,Cluster0_40,-1.2030,0.5163,-1.3424
Cluster-0,Cluster0_41,-1.1943,1.2312,1.0889
Cluster-0,Cluster0_42,-0.1971,1.4924,0.2199
Cluster-0,Cluster0_43,-0.2876,-1.3300,-0.4746
Cluster-0,Cluster0_44,-0.4988,1.0325,-1.3071
Cluster-0,Cluster0_45,-0.9533,1.7116,-0.2163
Cluster-0,Cluster0_46,-0.5997,-0.4930,0.7452
Cluster-0,Cluster0_47,0.9108,1.0406,0.7604
Cluster-0,Cluster0_48,0.2240,-0.1661,0.4002
Cluster-0,Cluster0_49,0.8838,-2.0400,-0.4475
Cluster-0,Cluster0_50,2.9799,-1.1499,1.1739
Cluster-0,Cluster0_51,-0.2221,-1.4499,-2.3446
Cluster-0,Cluster0_52,-1.7891,0.2416,2.2107
Cluster-0,Cluster0_53,-1.1381,-0.5815,-0.8569
Cluster-0,Cluster0_54,0.8207,0.9957,1.1107
Cluster-0,Cluster0_55,0.6245,-0.6370,-1.7158
Cluster-0,Cluster0_56,0.3328,-0.8318,-2.0245
Cluster-0,Cluster0_57,1.3168,-2.7314,-1.8231
Cluster-0,Cluster0_58,0.1824,1.3758,-0.6990
Cluster-0,Cluster0_59,-2.3560,-0.4688,0.2279
Cluster-0,Cluster0_60,-0.9317,0.3250,0.1634
Cluster-1,Cluster1_1,1.4520,-3.1751,-1.6691
Cluster-1,Cluster1_2,-0.3975,-2.3275,0.1566
Cluster-1,Cluster1_3,3.3250,-5.4671,1.7632
Cluster-1,Cluster1_4,3.9686,-1.9333,1.6653
Cluster-1,Cluster1_5,2.8405,-1.5871,-1.1053
Cluster-1,Cluster1_6,0.7664,-3.4887,0.8693
Cluster-1,Cluster1_7,2.0637,-2.4042,0.9843
Cluster-1,Cluster1_8,2.6863,-0.1992,-2.2562
Cluster-1,Cluster1_9,4.3011,-1.9522,0.7618
Cluster-1,Cluster1_10,2.3790,-3.9001,0.6115
Cluster-1,Cluster1_11,2.4655,-2.4881,1.8097
Cluster-1,Cluster1_12,3.6579,-3.0586,2.4764
Cluster-1,Cluster1_13,1.2201,-1.3586,0.7847
Cluster-1,Cluster1_14,4.4432,-2.1325,2.2386
Cluster-1,Cluster1_15,4.8910,-4.4067,2.5465
Cluster-1,Cluster1_16,1.4625,-1.8162,1.2009
Cluster-1,Cluster1_17,-0.4158,-3.0868,2.1644
Cluster-1,Cluster1_18,3.5610,-1.6506,0.8105
Cluster-1,Cluster1_19,0.9372,0.3124,5.4042
Cluster-1,Cluster1_20,2.1411,-2.0122,1.7515
Cluster-1,Cluster1_21,1.0535,-2.2134,-0.3661
Cluster-1,Cluster1_22,1.2782,-2.6616,-0.7117
Cluster-1,Cluster1_23,4.9142,-1.6447,2.4963
Cluster-1,Cluster1_24,2.7922,1.2652,3.9647
Cluster-1,Cluster1_25,1.5331,-1.8225,2.9545
Cluster-1,Cluster1_26,2.0128,-2.3452,-0.1370
Cluster-1,Cluster1_27,1.8126,-1.8901,1.4106
Cluster-1,Cluster1_28,2.5735,-1.6799,3.5998
Cluster-1,Cluster1_29,3.7550,-4.1162,1.3800
Cluster-1,Cluster1_30,1.9362,-0.2133,-0.2128
Cluster-1,Cluster1_31,0.4188,0.7216,-0.4653
Cluster-1,Cluster1_32,2.2450,-3.7467,0.5959
Cluster-1,Cluster1_33,4.8929,-3.6409,0.9937
Cluster-1,Cluster1_34,5.0216,-1.2362,-0.8638
Cluster-1,Cluster1_35,2.2853,-4.1842,1.0037
Cluster-1,Cluster1_36,3.7711,-1.6231,-0.2175
Cluster-1,Cluster1_37,4.0215,-1.6590,3.4872
Cluster-1,Cluster1_38,1.4984,-2.5727,1.6766
Cluster-1,Cluster1_39,2.7292,-3.9736,-0.5783
Cluster-1,Cluster1_40,2.8512,-3.4680,1.1306
Cluster-1,Cluster1_41,2.0575,-2.1661,0.3607
Cluster-1,Cluster1_42,1.2451,-2.3913,-1.1237
Cluster-1,Cluster1_43,1.6457,-1.8175,3.0253
Cluster-1,Cluster1_44,4.5884,-1.3668,0.3586
Cluster-1,Cluster1_45,5.4031,-0.0566,1.8773
Cluster-1,Cluster1_46,0.8325,-2.7748,1.8153
Cluster-1,Cluster1_47,2.9652,-2.1849,1.3372
Cluster-1,Cluster1_48,3.2261,-0.3869,1.1208
Cluster-1,Cluster1_49,4.7840,0.1538,1.0858
Cluster-1,Cluster1_50,2.2058,-0.6196,2.3883
Cluster-1,Cluster1_51,3.1329,-0.8415,1.5547
Cluster-1,Cluster1_52,4.8979,-0.6109,1.9518
Cluster-1,Cluster1_53,1.9520,-4.7187,1.7963
Cluster-1,Cluster1_54,0.2585,-0.1930,1.8528
Cluster-1,Cluster1_55,2.0998,-1.9343,0.5596
Cluster-1,Cluster1_56,2.7199,-3.7774,1.4638
Cluster-1,Cluster1_57,1.7949,-2.7180,2.7410
Cluster-1,Cluster1_58,3.8581,-3.9089,2.4324
Cluster-1,Cluster1_59,1.4044,-3.8167,3.0047
Cluster-1,Cluster1_60,2.0045,-0.4392,2.1528
Cluster-2,Cluster2_1,1.9638,12.4395,9.8333
Cluster-2,Cluster2_2,1.1530,11.2525,9.5023
Cluster-2,Cluster2_3,0.4013,12.0089,14.6367
Cluster-2,Cluster2_4,3.1250,14.4091,9.0649
Cluster-2,Cluster2_5,5.2587,11.7128,8.1951
Cluster-2,Cluster2_6,1.7865,12.5368,12.3998
Cluster-2,Cluster2_7,2.5500,10.5432,11.6646
Cluster-2,Cluster2_8,2.9357,11.0363,12.2569
Cluster-2,Cluster2_9,1.5201,9.9324,12.4941
Cluster-2,Cluster2_10,4.2805,10.6418,9.7572
Cluster-2,Cluster2_11,2.1290,10.8276,10.1678
Cluster-2,Cluster2_12,4.2460,11.3592,11.1510
Cluster-2,Cluster2_13,3.1995,13.1785,11.7758
Cluster-2,Cluster2_14,2.8131,11.9205,10.7614
Cluster-2,Cluster2_15,3.0642,12.3209,11.7421
Cluster-2,Cluster2_16,2.6088,11.2166,11.6511
Cluster-2,Cluster2_17,1.8795,13.1071,11.4825
Cluster-2,Cluster2_18,3.5484,10.6531,11.4868
Cluster-2,Cluster2_19,2.3615,14.1906,10.4935
Cluster-2,Cluster2_20,3.5067,10.8161,11.4663
Cluster-2,Cluster2_21,2.4601,12.5067,12.8489
Cluster-2,Cluster2_22,1.3579,11.5895,13.7121
Cluster-2,Cluster2_23,1.5993,12.6356,10.5679
Cluster-2,Cluster2_24,1.0840,12.5990,10.7351
Cluster-2,Cluster2_25,-0.2418,10.8882,11.6155
Cluster-2,Cluster2_26,1.0135,11.7485,11.2755
Cluster-2,Cluster2_27,-0.7903,10.1849,8.9249
Cluster-2,Cluster2_28,3.1821,12.0160,12.8605
Cluster-2,Cluster2_29,1.6012,12.2769,12.5249
Cluster-2,Cluster2_30,3.8588,11.9032,12.8950
Cluster-2,Cluster2_31,1.8165,9.4367,12.2996
Cluster-2,Cluster2_32,3.8334,9.7568,9.2477
Cluster-2,Cluster2_33,1.3805,14.0371,11.1841
Cluster-2,Cluster2_34,-0.7871,9.9069,12.9094
Cluster-2,Cluster2_35,-1.2671,11.0504,12.0492
Cluster-2,Cluster2_36,-2.1503,11.2391,14.3886
Cluster-2,Cluster2_37,1.6278,11.8354,12.1613
Cluster-2,Cluster2_38,-0.0728,10.7566,10.4988
Cluster-2,Cluster2_39,-0.1921,12.8925,10.2457
Cluster-2,Cluster2_40,0.9590,10.8488,11.2832
Cluster-2,Cluster2_41,0.9087,12.6024,9.8078
Cluster-2,Cluster2_42,3.2533,10.9927,8.8965
Cluster-2,Cluster2_43,2.8668,11.5250,12.4894
Cluster-2,Cluster2_44,2.9318,13.5194,11.5131
Cluster-2,Cluster2_45,-0.2254,9.0978,9.4357
Cluster-2,Cluster2_46,2.6431,12.9827,11.1935
Cluster-2,Cluster2_47,2.3123,14.0065,11.1281
Cluster-2,Cluster2_48,3.1487,11.4488,11.7296
Cluster-2,Cluster2_49,1.8164,12.4883,13.7314
Cluster-2,Cluster2_50,3.3098,9.4360,10.5301
Cluster-2,Cluster2_51,0.6824,11.3720,11.6333
Cluster-2,Cluster2_52,3.8701,11.7321,12.9653
Cluster-2,Cluster2_53,2.7339,12.3868,9.0221
Cluster-2,Cluster2_54,1.4301,11.6019,11.2595
Cluster-2,Cluster2_55,-0.1853,11.5837,11.1393
Cluster-2,Cluster2_56,1.5359,13.5604,11.5367
Cluster-2,Cluster2_57,-1.2341,12.0761,10.3395
Cluster-2,Cluster2_58,4.9078,12.0971,11.2243
Cluster-2,Cluster2_59,0.5180,11.8250,13.0740
Cluster-2,Cluster2_60,3.6069,8.6480,9.8988
